State,Year,Population
Maine,1988,1206000
Maine,1989,1222000
Maine,1990,1227928
Maine,1991,1235000
Maine,1992,1235000
Maine,1993,1239000
Maine,1994,1240000
Maine,1995,1241000
Maine,1996,1243000
Maine,1997,1242000
Maine,1998,1244000
Maine,1999,1253040
Maine,2000,1274923
Maine,2001,1284470
Maine,2002,1294894
Maine,2003,1309205
Maine,2004,1314985
Maine,2005,1318220
Maine,2006,1321574
Maine,2007,1317207
Maine,2008,1316456
Maine,2009,1318301
Maine,2010,1327379
Maine,2011,1328544
Maine,2012,1329192
Maryland,1960,3100689
Maryland,1961,3188000
Maryland,1962,3191000
Maryland,1963,3289000
Maryland,1964,3432000
Maryland,1965,3519000
Maryland,1966,3613000
Maryland,1967,3682000
Maryland,1968,3757000
Maryland,1969,3765000
Maryland,1970,3922399
Maryland,1971,4000000
Maryland,1972,4056000
Maryland,1973,4070000
Maryland,1974,4094000
Maryland,1975,4098000
Maryland,1976,4144000
Maryland,1977,4139000
Maryland,1978,4143000
Maryland,1979,4149000
Maryland,1980,4192211
Maryland,1981,4261000
Maryland,1982,4265000
Maryland,1983,4304000
Maryland,1984,4349000
Maryland,1985,4392000
Maryland,1986,4463000
Maryland,1987,4535000
Maryland,1988,4644000
Maryland,1989,4694000
Maryland,1990,4781468
Maryland,1991,4860000
Maryland,1992,4908000
Maryland,1993,4965000
Maryland,1994,5006000
Maryland,1995,5042000
Maryland,1996,5072000
Maryland,1997,5094000
Maryland,1998,5135000
Maryland,1999,5171634
Maryland,2000,5296486
Maryland,2001,5386079
Maryland,2002,5450525
Maryland,2003,5512310
Maryland,2004,5561332
Maryland,2005,5589599
Maryland,2006,5615727
Maryland,2007,5618344
Maryland,2008,5633597
Maryland,2009,5699478
Maryland,2010,5785681
Maryland,2011,5839572
Maryland,2012,5884563
Massachusetts,1960,5148578
Massachusetts,1961,5234000
Massachusetts,1962,5161000
Massachusetts,1963,5218000
Massachusetts,1964,5338000
Massachusetts,1965,5348000
Massachusetts,1966,5383000
Massachusetts,1967,5421000
Massachusetts,1968,5437000
Massachusetts,1969,5467000
Massachusetts,1970,5689170
Massachusetts,1971,5758000
Massachusetts,1972,5787000
Massachusetts,1973,5818000
Massachusetts,1974,5800000
Massachusetts,1975,5828000
Massachusetts,1976,5809000
Massachusetts,1977,5782000
Massachusetts,1978,5774000
Massachusetts,1979,5769000
Massachusetts,1980,5728288
Massachusetts,1981,5770000
Massachusetts,1982,5781000
Massachusetts,1983,5767000
Massachusetts,1984,5798000
Massachusetts,1985,5822000
Massachusetts,1986,5832000
Massachusetts,1987,5855000
Massachusetts,1988,5871000
Massachusetts,1989,5913000
Massachusetts,1990,6016425
Massachusetts,1991,5996000
Massachusetts,1992,5998000
Massachusetts,1993,6012000
Massachusetts,1994,6041000
Massachusetts,1995,6074000
Massachusetts,1996,6092000
Massachusetts,1997,6118000
Massachusetts,1998,6147000
Massachusetts,1999,6175169
Massachusetts,2000,6349097
Massachusetts,2001,6401164
Massachusetts,2002,6421800
Massachusetts,2003,6420357
Massachusetts,2004,6407382
Massachusetts,2005,6433367
Massachusetts,2006,6437193
Massachusetts,2007,6449755
Massachusetts,2008,6497967
Massachusetts,2009,6593587
